"Title","Body","Labels","Milestone","Assignee","Estimate (hours)"
"Set up GitHub Projects board with columns and milestones","## Task
Create the "Case Explorer: 90-Day Roadmap" GitHub Projects board with:
- Columns: To Do, In Progress, In Review, Done, Blocked
- Milestones: Sprint 0-4
- Add all issues from this document to the board
- Configure automation rules

## Acceptance Criteria
- [ ] Projects board exists with correct name
- [ ] All 5 columns are configured
- [ ] All 5 milestones are created
- [ ] All Sprint 0 issues are added to the board
- [ ] Automation rules are configured

## Labels
`devops`, `priority:high`, `epic:sprint-0`

## Estimate
2 hours","devops,priority:high,epic:sprint-0","Sprint 0: Foundation","",2
"Set up CI/CD pipeline with GitHub Actions","## Task
Create GitHub Actions workflows to automate:
- Running tests on pull requests (lint, validate)
- Running tests on pushes to main
- Building and deploying the static site
- Automating release process

## Acceptance Criteria
- [ ] `.github/workflows/ci.yml` exists
- [ ] Workflow runs on PR to `main` branch
- [ ] Workflow runs `npm run lint` successfully
- [ ] Workflow runs `npm run validate` successfully
- [ ] Workflow runs `npm run build` successfully
- [ ] Workflow fails and blocks merge if tests fail

## Labels
`devops`, `backend`, `priority:high`, `epic:sprint-0`

## Estimate
4 hours","devops,backend,priority:high,epic:sprint-0","Sprint 0: Foundation","",4
"Configure PostgreSQL database (local + cloud)","## Task
Set up PostgreSQL database for development and production:
- Local PostgreSQL setup instructions
- Cloud database on Supabase or Neon.tech
- Connection string management (environment variables)
- Basic schema for cases, users, configurations

## Acceptance Criteria
- [ ] `docs/DB_SETUP.md` created with setup instructions
- [ ] Local PostgreSQL connection works
- [ ] Cloud PostgreSQL instance created and configured
- [ ] `.env.example` contains all required DB variables
- [ ] Basic schema SQL file created (`docs/db/schema.sql`)

## Labels
`database`, `backend`, `devops`, `priority:high`, `epic:sprint-0`

## Estimate
6 hours","database,backend,devops,priority:high,epic:sprint-0","Sprint 0: Foundation","",6
"Create PROJECT.md with 90-day roadmap overview","## Task
Create a comprehensive `PROJECT.md` file at the repo root that includes:
- Project vision and goals
- 90-day roadmap with sprint summaries
- Sprint objectives
- Team roles and responsibilities
- Links to resources (board, docs, Slack)

## Acceptance Criteria
- [ ] `PROJECT.md` exists at repo root
- [ ] Contains project vision and goals
- [ ] Contains 90-day roadmap with sprint summaries
- [ ] Contains team contact information
- [ ] Links to GitHub Projects board

## Labels
`documentation`, `priority:high`, `epic:sprint-0`

## Estimate
2 hours","documentation,priority:high,epic:sprint-0","Sprint 0: Foundation","",2
"Document current architecture with Mermaid diagrams","## Task
Create `docs/ARCHITECTURE.md` with:
- High-level system architecture diagram (Mermaid.js)
- Component descriptions
- Data flow explanations
- Technology stack overview
- Deployment architecture

## Acceptance Criteria
- [ ] `docs/ARCHITECTURE.md` exists
- [ ] Contains at least 2 Mermaid diagrams
- [ ] Describes all major components
- [ ] Explains data flow
- [ ] Lists technology stack

## Labels
`documentation`, `priority:high`, `epic:sprint-0`

## Estimate
4 hours","documentation,priority:high,epic:sprint-0","Sprint 0: Foundation","",4
"Create #case-explorer Slack channel for team communication","## Task
Set up team communication infrastructure:
- Create Slack channel #case-explorer
- Invite all team members
- Set up channel purpose and guidelines
- Integrate GitHub notifications

## Acceptance Criteria
- [ ] Slack channel #case-explorer exists
- [ ] All team members are invited
- [ ] Channel purpose is set
- [ ] GitHub integration is configured

## Labels
`devops`, `priority:medium`, `epic:sprint-0`

## Estimate
1 hour","devops,priority:medium,epic:sprint-0","Sprint 0: Foundation","",1
"Create GitHub issue and PR templates","## Task
Create standardized templates for:
- Bug reports
- Feature requests
- Pull requests
- Documentation requests

## Acceptance Criteria
- [ ] `.github/ISSUE_TEMPLATE/bug_report.md` exists
- [ ] `.github/ISSUE_TEMPLATE/feature_request.md` exists
- [ ] `.github/pull_request_template.md` exists
- [ ] Templates include all required fields

## Labels
`devops`, `documentation`, `priority:medium`, `epic:sprint-0`

## Estimate
2 hours","devops,documentation,priority:medium,epic:sprint-0","Sprint 0: Foundation","",2
"Design REST API specification","## Task
Design the API specification using OpenAPI/Swagger:
- Endpoints for case generation
- Endpoints for batch generation
- Authentication endpoints
- Rate limiting strategy
- Error handling standards

## Acceptance Criteria
- [ ] `docs/api/openapi.yaml` or `openapi.json` exists
- [ ] All major endpoints are defined
- [ ] Request/response schemas are documented
- [ ] Authentication flow is documented
- [ ] Reviewed by team

## Labels
`backend`, `documentation`, `priority:high`, `epic:sprint-1`

## Estimate
4 hours","backend,documentation,priority:high,epic:sprint-1","Sprint 1: API & Core","",4
"Implement Express.js API server for case generation","## Task
Create a Node.js/Express server that:
- Exposes REST endpoints from the API spec
- Integrates with the existing generator.js
- Handles request validation
- Returns proper HTTP status codes

## Acceptance Criteria
- [ ] `src/server.js` or `src/api/index.js` exists
- [ ] `/api/health` endpoint works
- [ ] `/api/cases/generate` endpoint works
- [ ] `/api/cases/batch` endpoint works
- [ ] Request validation implemented
- [ ] Error handling implemented

## Labels
`backend`, `priority:high`, `epic:sprint-1`

## Estimate
8 hours","backend,priority:high,epic:sprint-1","Sprint 1: API & Core","",8
"Implement API key authentication for endpoints","## Task
Implement authentication using API keys:
- Generate API keys for users
- Validate API keys on protected endpoints
- Store API keys securely
- Rate limit by API key

## Acceptance Criteria
- [ ] API key generation endpoint works
- [ ] Protected endpoints require valid API key
- [ ] Rate limiting works (e.g., 1000 reqs/hour free tier)
- [ ] API keys stored securely (hashed)
- [ ] Invalid key returns 401 Unauthorized

## Labels
`backend`, `devops`, `priority:high`, `epic:sprint-1`

## Estimate
6 hours","backend,devops,priority:high,epic:sprint-1","Sprint 1: API & Core","",6
"Deploy API documentation using Swagger UI or Redoc","## Task
Deploy interactive API documentation:
- Use Swagger UI or Redoc
- Host on GitHub Pages or Vercel
- Keep in sync with OpenAPI spec

## Acceptance Criteria
- [ ] API docs site is deployed and accessible
- [ ] All endpoints are documented
- [ ] Try-it-out functionality works
- [ ] Links from README and main site

## Labels
`backend`, `documentation`, `priority:medium`, `epic:sprint-1`

## Estimate
2 hours","backend,documentation,priority:medium,epic:sprint-1","Sprint 1: API & Core","",2
"Add input validation middleware for API endpoints","## Task
Add validation for all API inputs:
- Use Joi or Zod for schema validation
- Validate query parameters
- Validate request bodies
- Return clear error messages

## Acceptance Criteria
- [ ] Validation middleware implemented
- [ ] All endpoints have input validation
- [ ] Invalid input returns 400 with clear message
- [ ] Validation schemas are tested

## Labels
`backend`, `priority:medium`, `epic:sprint-1`

## Estimate
4 hours","backend,priority:medium,epic:sprint-1","Sprint 1: API & Core","",4
"Add unit tests for API endpoints","## Task
Add comprehensive tests for API:
- Test all endpoints (health, generate, batch)
- Test authentication
- Test validation
- Test error handling

## Acceptance Criteria
- [ ] Tests exist for all API endpoints
- [ ] Tests pass locally
- [ ] Tests run in CI/CD
- [ ] Coverage >80% for API code

## Labels
`backend`, `priority:medium`, `epic:sprint-1`

## Estimate
4 hours","backend,priority:medium,epic:sprint-1","Sprint 1: API & Core","",4
"Integrate PostgreSQL database for case persistence","## Task
Connect the generator to PostgreSQL:
- Store generated cases in database
- Add metadata (timestamp, user, seed)
- Implement query endpoints for cases
- Add pagination for case listings

## Acceptance Criteria
- [ ] Cases are stored in PostgreSQL
- [ ] `/api/cases` endpoint returns paginated list
- [ ] `/api/cases/{id}` endpoint returns single case
- [ ] Database schema is versioned
- [ ] Migrations are documented

## Labels
`backend`, `database`, `priority:high`, `epic:sprint-2`

## Estimate
8 hours","backend,database,priority:high,epic:sprint-2","Sprint 2: Scalability","",8
